"ID","DELETE_FLAG","UPDATE_TIME","MAIL_ID","MEMBER_ID","DETAIL","SUBJECT_ID"
"1","false","2014/10/20 18:38:50.0",,"4","部室にある「公式Win３２APIリファレンス」と「マルチコアCPUのための並列プログラミング」を合宿に持って行きたいのですが、当日部室って開けられるのでしょうか？ ","1"
"2","false","2014/10/20 18:39:02.0",,"4","ロックアウト期間は終了しているので、10時頃ならば開けられると思います。しかし、10時半には鍵返却の手続き等までしっかりやっとく必要があると思います。 ","1"
"3","false","2014/10/20 18:39:32.0",,"4","https://www.dropbox.com/s/jictu0jx6wf9r5x/%E3%81%8A%E3%81%84%E3%81%97%E3%81%84%E9%A4%85%E5%B1%8B%E3%81%95%E3%82%93V100.zip ","2"
"4","false","2014/10/20 18:40:00.0",,"4","操作方法とかは解凍したzipファイルに入っていますのでそれを見てどうぞ。 ","2"
"5","false","2014/10/20 18:40:13.0",,"4","いずれ上記のサイトで完成版をアップロードするのですが、せっかくなので昨日の本番でできたバージョンを内部に先行公開させていただこうと思います。 ","2"
"6","false","2014/10/20 18:40:22.0",,"4","それで僕が製作したゲームが準優勝を獲得しました。めでてぇ。 ","2"
"7","false","2014/10/20 18:40:30.0",,"4","みんなで集まって与えられたテーマに沿って10時間でそれぞれゲームを作るってやつです。 ","2"
"8","false","2014/10/20 18:40:39.0",,"4","こちらです。http://10hoursgamejam.hateblo.jp/ ","2"
"9","false","2014/10/24 01:26:56.0",,"4","会議を削除するとサーバーエラーを解消：会議出席メールの時間が未設定だとnullと表示される問題を解消：トップページを少しだけ開発","3"
"10","false","2014/10/25 18:54:21.0",,"18","システム改修でBBSは完全には引き継げなかったんですね。製作者欄がなんかすごい・・・。いや、いいんですけど。","1"
"11","false","2014/10/28 16:10:52.0",,"4","会議の締め切りは過ぎているが開催待ちの会議に出席が出せる問題を解消：
出欠メールの文言を変更","3"
"12","false","2014/10/29 08:21:19.0",,"4","・一括アップロード時にメアドの重複チェック処理を追加
・その他細かい改修","3"
"13","false","2014/11/16 11:35:04.0",,"38","作品名「CANNON」　H.N「yuchu」","4"
"14","false","2014/11/16 15:13:23.0",,"12","作品名「避けるんです」　H.N.「たけ」","4"
"15","false","2014/11/16 15:19:55.0",,"29","タイトル「フルーツキャッチ」 H.N「Zak3」","4"
"16","false","2014/11/17 00:50:18.0",,"4","いやね、DBに記録残ってるから一個一個なおせるんだけどめんどくさい","1"
"17","false","2014/11/17 14:11:44.0",,"2","作品名「Valentine's Explosion」 H.N.「COM」","4"
"18","false","2014/11/17 17:08:42.0",,"28","作品名「CYBER TRIP ～escape from the cyber city～」 H.N.「arc」","4"
"19","false","2014/11/17 21:11:46.0",,"27","作品名「もぐらたたき　～Beat Soil Dragons～」H.N.「暴走研究員」","4"
"20","false","2014/11/18 00:18:21.0",,"44","遅くなりました。
作品名
個人作品１：クイズ　あなたはパティシエ
個人作品２：倒せ！最恐モンスター
共同制作：Scatto continuo(共同制作者：yumetodo)
「Scatto continuo」の完成の目処が立たなかった場合、「クイズ　あなたはパティシエ」を共同作品として提出し、「倒せ！最恐モンスター」を個人作品として提出します。
「Scatto continuo」が完成した場合は、「倒せ！最恐モンスター」は提出せず、「クイズ　あなたはパティシエ」を個人作品として提出します。
長くなってすいません。　　H.N.「神御田」","4"
"21","false","2014/11/18 01:21:40.0",,"18","ほんとに遅くなりました。
共同制作：Scatto_continuo(共同制作者：神御田)(Scatto continuoではないです、「_」大事です)
です。たぶんなんとかなる・・・はずですが、ならなかった時は
個人作品１：コマンドプロンプトで神経衰弱
共同制作：クイズ　あなたはパティシエ(共同制作者：神御田)

担当の方にご迷惑をかけないよう、是が非でもScatto_continuoは完成させます。
H.N.「yumetodo」 ","4"
"22","false","2014/11/18 11:10:14.0",,"16","遅くなり申し訳ありません。
作品名「教授の憤怒」でお願いします。

また、作品について少し修正しましたので、
今週の木曜再提出します
H.N「GAMEBOY」","4"
"23","false","2014/11/18 17:06:21.0",,"3","遅れてすいません。
展示のみの作品ですが作品名は「ふっとびバルーン」です。
H.N.「モント」","4"
